id;tracking_code;date;details
1;global;2019-07-02T06:39:02;Moroccan Dirham
2;Springs connecting;2019-07-02T01:59:21;connecting Planner Refined
3;engage Granite Grocery;2019-07-01T15:15:10;Credit Card Account transmitter cyan
4;Checking Account;2019-07-01T09:50:42;Home Loan Account withdrawal
5;partnerships International;2019-07-02T01:01:04;Berkshire solid state
6;middleware Switzerland;2019-07-01T16:37:57;back-end Via indexing
7;Business-focused Canyon Orchestrator;2019-07-01T21:33:11;concept payment
8;robust;2019-07-01T20:28:54;Creek
9;Shirt Metal;2019-07-01T17:59:42;Chicken
10;e-business RSS;2019-07-01T21:00:37;Officer Savings Account Automated
